date,symbol,BB_1pm,BO_1pm,MID_1pm,quote_set,issue,BB_c1,BO_c1,Mid_c1,BB_4pm,BO_4pm,Mid_4pm,LBB,LBO,LMid
21/10/1993,AAPL,29.75,28.0,28.875,1pm,BID_GREATER_THAN_ASK,,,,,,,,,
28/10/1993,AAPL,31.875,31.75,31.8125,1pm,BID_GREATER_THAN_ASK,,,,,,,,,
04/11/1993,AAPL,31.5,31.25,31.375,1pm,BID_GREATER_THAN_ASK,,,,,,,,,
18/11/1993,AAPL,33.375,33.25,33.3125,1pm,BID_GREATER_THAN_ASK,,,,,,,,,
02/12/1993,AAPL,31.5,31.125,31.3125,1pm,BID_GREATER_THAN_ASK,,,,,,,,,
10/12/1993,AAPL,30.0,29.5,29.75,1pm,BID_GREATER_THAN_ASK,,,,,,,,,
16/02/1993,GE,83.375,83.125,83.25,1pm,BID_GREATER_THAN_ASK,,,,,,,,,
23/07/1993,INTC,51.25,50.5,50.875,1pm,BID_GREATER_THAN_ASK,,,,,,,,,
27/07/1993,INTC,52.375,52.0,52.1875,1pm,BID_GREATER_THAN_ASK,,,,,,,,,
24/08/1993,INTC,64.125,63.75,63.9375,1pm,BID_GREATER_THAN_ASK,,,,,,,,,
08/09/1993,INTC,62.0,60.75,61.375,1pm,BID_GREATER_THAN_ASK,,,,,,,,,
15/09/1993,INTC,64.0,63.5,63.75,1pm,BID_GREATER_THAN_ASK,,,,,,,,,
28/09/1993,INTC,70.75,70.5,70.625,1pm,BID_GREATER_THAN_ASK,,,,,,,,,
13/10/1993,INTC,64.75,63.25,64.0,1pm,BID_GREATER_THAN_ASK,,,,,,,,,
15/11/1993,INTC,60.75,60.25,60.5,1pm,BID_GREATER_THAN_ASK,,,,,,,,,
17/11/1993,INTC,59.75,59.5,59.625,1pm,BID_GREATER_THAN_ASK,,,,,,,,,
19/11/1993,INTC,58.5,58.25,58.375,1pm,BID_GREATER_THAN_ASK,,,,,,,,,
23/11/1993,INTC,58.5,58.0,58.25,1pm,BID_GREATER_THAN_ASK,,,,,,,,,
29/11/1993,INTC,61.25,60.75,61.0,1pm,BID_GREATER_THAN_ASK,,,,,,,,,
02/12/1993,INTC,62.25,61.75,62.0,1pm,BID_GREATER_THAN_ASK,,,,,,,,,
15/12/1993,INTC,58.25,57.5,57.875,1pm,BID_GREATER_THAN_ASK,,,,,,,,,
16/02/1993,JNJ,42.875,42.625,42.75,1pm,BID_GREATER_THAN_ASK,,,,,,,,,
